anime_id,title_english,type,episodes,rating,rank,popularity,members,source,duration,genre,studio,year
9065,Hakuoki: Demon of the Fleeting Blossom - Record of the Jade Blood,TV,10.0,7.55,1794.0,2433,88813,Visual novel,23 min per ep,"Action, Drama, Supernatural",Studio Deen,2010
37141,Cells at Work!,TV,13.0,7.55,1795.0,336,677201,Manga,23 min per ep,Comedy,David Production,2018
38578,Star☆Twinkle Pretty Cure,TV,49.0,7.55,1774.0,5985,13950,Original,24 min per ep,Action,Toei Animation,2019
33350,Rakshasa Street,ONA,24.0,7.55,1782.0,3225,54394,Manga,14 min per ep,"Action, Supernatural",L²Studio,2016
31953,New Game!,TV,12.0,7.55,1809.0,554,445300,4-koma manga,24 min per ep,Comedy,Doga Kobo,2016
40389,Star Blazers: Space Battleship Yamato 2205,OVA,8.0,7.55,1775.0,7508,7937,Original,24 min per ep,"Action, Drama, Sci-Fi",Satelight,2021
18671,"Love, Chunibyo & Other Delusions!: Heart Throb",TV,12.0,7.55,1789.0,277,773264,Light novel,23 min per ep,"Comedy, Romance",Kyoto Animation,2014
41918,The Island of Siliang,ONA,15.0,7.55,1798.0,10872,2859,Original,20 min per ep,"Action, Fantasy","Wulifang, Year Young Culture",2021
34547,Altair: A Record of Battles,TV,24.0,7.55,1772.0,2551,82399,Manga,24 min per ep,"Adventure, Drama",MAPPA,2017
42351,My Senpai is Annoying,TV,12.0,7.55,1770.0,718,360267,Web manga,23 min per ep,"Comedy, Romance",Doga Kobo,2021
34561,Re:CREATORS,TV,22.0,7.55,1817.0,455,527915,Original,24 min per ep,"Action, Fantasy",TROYCA,2017
10161,No. 6,TV,11.0,7.55,1810.0,545,451648,Novel,23 min per ep,"Action, Drama, Mystery, Sci-Fi",Bones,2011
1567,Mysterious Thief Saint Tail,TV,43.0,7.55,1801.0,4951,22826,Manga,22 min per ep,"Adventure, Romance",TMS Entertainment,1995
48779,Deaimon: Recipe for Happiness,TV,12.0,7.55,1790.0,2182,104537,Manga,24 min per ep,Slice of Life,Encourage Films,2022
584,Noein: To Your Other Self,TV,24.0,7.55,1811.0,2336,94668,Original,25 min per ep,"Adventure, Drama, Sci-Fi",Satelight,2005
250,Zatch Bell!,TV,150.0,7.55,1804.0,1831,133169,Manga,23 min per ep,"Action, Adventure, Comedy, Supernatural",Toei Animation,2003
48438,The Ancient Magus' Bride: The Boy from the West and the Knight of the Blue Storm,OVA,3.0,7.55,1806.0,2602,79681,Manga,22 min per ep,"Drama, Fantasy",Studio Kafka,2021
40392,Smile Down the Runway,TV,12.0,7.55,1818.0,1804,135437,Manga,24 min per ep,Drama,Ezόla,2020
40351,Pokémon Journeys: The Series,TV,136.0,7.55,1815.0,2300,97321,Game,23 min per ep,"Action, Adventure, Comedy, Fantasy",OLM,2019
9471,Baka & Test - Summon the Beasts OVA,OVA,2.0,7.55,1786.0,1880,128851,Light novel,29 min per ep,Comedy,SILVER LINK.,2011
59361,I Have a Crush at Work,TV,12.0,7.54,1823.0,2222,102399,Manga,23 min per ep,"Comedy, Romance",Blade,2025
55071,Tying the Knot with an Amagami Sister,TV,24.0,7.54,1845.0,2430,88906,Manga,23 min per ep,"Comedy, Romance, Supernatural",Drive,2024
52080,Murai in Love,ONA,12.0,7.54,1828.0,5261,19628,Web manga,23 min per ep,"Comedy, Romance",J.C.Staff,2024
51462,Farming Life in Another World,TV,12.0,7.54,1820.0,1034,254671,Light novel,23 min per ep,"Fantasy, Slice of Life",Zero-G,2023
22817,The File of Young Kindaichi Returns,TV,25.0,7.54,1822.0,5220,19959,Manga,24 min per ep,Mystery,Toei Animation,2014
32542,Haven't You Heard? I'm Sakamoto,TV,12.0,7.54,1835.0,258,804175,Manga,24 min per ep,Comedy,Studio Deen,2016
34577,The Seven Deadly Sins: Revival of the Commandments,TV,24.0,7.54,1830.0,136,1172674,Manga,24 min per ep,"Action, Adventure, Fantasy",A-1 Pictures,2018
36754,Kakuriyo: Bed and Breakfast for Spirits,TV,26.0,7.54,1821.0,1402,185224,Light novel,23 min per ep,"Drama, Fantasy, Gourmet, Romance",Gonzo,2018
2787,Shakugan no Shana: Season II,TV,24.0,7.54,1837.0,835,315374,Light novel,24 min per ep,"Action, Drama, Fantasy, Romance",J.C.Staff,2007
8675,Student Council Staff Members,TV,13.0,7.54,1836.0,475,510140,4-koma manga,24 min per ep,Comedy,GoHands,2010
16241,"You're Being Summoned, Azazel Z",TV,13.0,7.54,1842.0,3705,42536,Manga,12 min per ep,"Comedy, Supernatural",Production I.G,2013
708,Secret of Cerulean Sand,TV,26.0,7.54,1833.0,7015,9490,Novel,24 min per ep,"Adventure, Sci-Fi",Telecom Animation Film,2002
2558,Little Women II: Jo's Boys,TV,40.0,7.54,1841.0,7728,7394,Novel,25 min per ep,"Drama, Slice of Life",Nippon Animation,1993
34902,Tsuredure Children,TV,12.0,7.54,1838.0,286,759972,4-koma manga,12 min per ep,"Comedy, Romance",Studio Gokumi,2017
340,Time of Shura,TV,26.0,7.54,1829.0,4700,25768,Manga,23 min per ep,Action,Studio Comet,2004
1650,Star Blazers: The Quest for Iscandar,TV,26.0,7.54,1839.0,4312,31111,Original,25 min per ep,"Action, Adventure, Award Winning, Drama, Sci-Fi",Group TAC,1974
50590,Raven of the Inner Palace,TV,13.0,7.54,1824.0,2107,111076,Light novel,23 min per ep,"Fantasy, Mystery",Bandai Namco Pictures,2022
129,Saiyuki,TV,50.0,7.54,1851.0,3128,57643,Manga,23 min per ep,"Action, Adventure, Drama, Fantasy",Pierrot,2000
58855,Laid-Back Camp Season 3 Specials,Special,3.0,7.53,1898.0,7598,7723,Manga,7 min per ep,Slice of Life,8bit,2024
54726,TsumaSho,TV,12.0,7.53,1894.0,3068,59965,Manga,23 min per ep,"Comedy, Romance",Studio Signpost,2024
52308,Why Raeliana Ended up at the Duke's Mansion,TV,12.0,7.53,1874.0,1470,175383,Web manga,23 min per ep,"Fantasy, Romance",Typhoon Graphics,2023
51358,Dead Dead Demons Dededede Destruction,Movie,2.0,7.53,1864.0,4230,32621,Manga,2 hr per ep,"Drama, Sci-Fi",Production +h.,2024
37007,Hinomaru Sumo,TV,24.0,7.53,1872.0,1887,128350,Manga,23 min per ep,Sports,Gonzo,2018
32828,Sweetness & Lightning,TV,12.0,7.53,1857.0,784,333601,Manga,24 min per ep,"Gourmet, Slice of Life",TMS Entertainment,2016
7661,Giant Killing,TV,26.0,7.53,1867.0,2736,73652,Manga,24 min per ep,"Drama, Sports",Studio Deen,2010
14131,Girls und Panzer,TV,12.0,7.53,1868.0,814,319863,Original,24 min per ep,Action,Actas,2012
6802,Sound of the Sky,TV,12.0,7.53,1889.0,1531,168635,Original,24 min per ep,"Sci-Fi, Slice of Life",A-1 Pictures,2010
3673,The Daughter of 20 Faces,TV,22.0,7.53,1881.0,4015,36109,Manga,22 min per ep,"Action, Adventure, Mystery","Bones, Telecom Animation Film",2008
34134,One Punch Man Season 2,TV,12.0,7.53,1882.0,55,1797150,Web manga,23 min per ep,"Action, Comedy",J.C.Staff,2019
67,Basilisk,TV,24.0,7.53,1858.0,1321,197329,Manga,24 min per ep,"Action, Drama, Romance",Gonzo,2005
7270,Mobile Suit Gundam 00 Special Edition,OVA,3.0,7.53,1876.0,6204,12656,Original,1 hr 39 min per ep,"Action, Drama, Sci-Fi",Sunrise,2009
28121,Is It Wrong to Try to Pick Up Girls in a Dungeon?,TV,13.0,7.53,1866.0,75,1603622,Light novel,23 min per ep,"Action, Adventure, Fantasy",J.C.Staff,2015
38491,Stellar Transformation,ONA,12.0,7.53,1897.0,7082,9246,Web novel,26 min per ep,"Action, Adventure, Fantasy, Romance",Foch Film,2018
18139,Tonari no Seki-kun: The Master of Killing Time,TV,21.0,7.53,1893.0,1059,248270,Manga,7 min per ep,Comedy,Shin-Ei Animation,2014
880,Ah! My Goddess: Flights of Fancy,TV,22.0,7.53,1856.0,2835,69295,Manga,24 min per ep,"Comedy, Romance, Supernatural",AIC,2006
15989,Saki - Episode of Side A Specials,Special,4.0,7.53,1886.0,5765,15425,Manga,30 min per ep,Slice of Life,Studio Gokumi,2013
11371,The Prince of Tennis II,TV,13.0,7.53,1887.0,2892,66880,Manga,23 min per ep,Sports,"Production I.G, M.S.C",2012
49613,The Wrong Way to Use Healing Magic,TV,13.0,7.53,1861.0,948,276205,Light novel,23 min per ep,"Action, Adventure, Fantasy","Shin-Ei Animation, Studio Add",2024
2012,Hell Teacher Nube,TV,49.0,7.53,1873.0,4893,23308,Manga,24 min per ep,"Comedy, Horror, Supernatural",Toei Animation,1996
42590,Those Snow White Notes,TV,12.0,7.53,1879.0,1621,156342,Manga,24 min per ep,Drama,Shin-Ei Animation,2021
50274,Tales of Demons and Gods Season 5,ONA,52.0,7.53,1897.0,9156,4819,Novel,7 min per ep,"Action, Adventure, Fantasy, Romance",Ruo Hong Culture,2021
